%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag	trialNum	go1Nogo2
s	1	0	5	5	0	n	n	n		crosshair.jpg				1	0
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			3	2	0
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0001.jpg			1	3	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0001.jpg			2	4	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0002.jpg			1	5	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0003.jpg			1	6	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0002.jpg			2	7	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0004.jpg			1	8	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0005.jpg			1	9	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0003.jpg			2	10	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0006.jpg			1	11	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0007.jpg			1	12	1
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0008.jpg			1	13	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0009.jpg			1	14	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0010.jpg			1	15	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0011.jpg			1	16	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0012.jpg			1	17	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0004.jpg			2	18	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0013.jpg			1	19	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0014.jpg			1	20	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0005.jpg			2	21	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0015.jpg			1	22	1
%															
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0016.jpg			1	23	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0017.jpg			1	24	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0018.jpg			1	25	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0019.jpg			1	26	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0006.jpg			2	27	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0020.jpg			1	28	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0021.jpg			1	29	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0022.jpg			1	30	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0023.jpg			1	31	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0007.jpg			2	33	4
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0024.jpg			1	34	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0025.jpg			1	35	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0008.jpg			2	36	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0026.jpg			1	37	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0027.jpg			1	38	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0028.jpg			1	39	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0029.jpg			1	40	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0030.jpg			1	41	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0031.jpg			1	42	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0032.jpg			1	43	1
%															
