%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	trialNum	tags
s	1	0	5	5	0	n	n	n		crosshair.jpg			1	0
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			2	0
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0111.jpg			3	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0112.jpg			4	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0113.jpg			5	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0114.jpg			6	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0115.jpg			7	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0141.jpg			8	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0116.jpg			9	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0142.jpg			10	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0117.jpg			11	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0118.jpg			12	3
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0143.jpg			13	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0119.jpg			14	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0120.jpg			15	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0144.jpg			16	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0121.jpg			17	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0122.jpg			18	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0123.jpg			19	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0124.jpg			20	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0125.jpg			21	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0126.jpg			22	3
%														
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0127.jpg			23	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0145.jpg			24	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0128.jpg			25	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0129.jpg			26	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0130.jpg			27	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0131.jpg			28	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0132.jpg			29	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0133.jpg			30	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0134.jpg			31	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0146.jpg			33	2
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0135.jpg			34	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0147.jpg			35	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0136.jpg			36	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0148.jpg			37	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0137.jpg			38	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0149.jpg			39	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0138.jpg			40	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0139.jpg			41	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0140.jpg			42	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0150.jpg			43	2
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0141.jpg			44	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0142.jpg			45	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0143.jpg			46	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0144.jpg			47	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0145.jpg			48	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0146.jpg			49	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0147.jpg			50	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0148.jpg			51	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0149.jpg			52	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0150.jpg			53	3
%														
