%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	trialNum	tags
s	1	0	5	5	0	n	n	n		crosshair.jpg			1	0
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			2	0
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1517.jpg			3	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1517.jpg			4	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1518.jpg			5	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1519.jpg			6	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1518.jpg			7	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1520.jpg			8	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1521.jpg			9	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1519.jpg			10	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1522.jpg			11	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1523.jpg			12	1
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1524.jpg			13	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1525.jpg			14	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1526.jpg			15	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1527.jpg			16	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1528.jpg			17	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1520.jpg			18	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1529.jpg			19	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1530.jpg			20	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1521.jpg			21	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1531.jpg			22	1
%														
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1532.jpg			23	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1533.jpg			24	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1534.jpg			25	1
