%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag	trialNum	go1Nogo2
s	1	0	5	5	0	n	n	n		crosshair.jpg				1	0
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			3	2	0
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1517.jpg			1	3	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1517.jpg			2	4	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1518.jpg			1	5	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1519.jpg			1	6	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1518.jpg			2	7	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1520.jpg			1	8	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1521.jpg			1	9	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1519.jpg			2	10	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1522.jpg			1	11	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1523.jpg			1	12	1
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1524.jpg			1	13	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1525.jpg			1	14	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1526.jpg			1	15	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1527.jpg			1	16	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1528.jpg			1	17	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1520.jpg			2	18	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1529.jpg			1	19	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1530.jpg			1	20	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1521.jpg			2	21	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1531.jpg			1	22	1
%															
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1532.jpg			1	23	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1533.jpg			1	24	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1534.jpg			1	25	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1535.jpg			1	26	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1522.jpg			2	27	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1536.jpg			1	28	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1537.jpg			1	29	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1538.jpg			1	30	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1539.jpg			1	31	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1523.jpg			2	33	2
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1540.jpg			1	34	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1541.jpg			1	35	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1524.jpg			2	36	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1542.jpg			1	37	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1543.jpg			1	38	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1544.jpg			1	39	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1545.jpg			1	40	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1546.jpg			1	41	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1547.jpg			1	42	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1548.jpg			1	43	1
%															
