%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	tag	trialNum	go1Nogo2
s	1	0	5	5	0	n	n	n		crosshair.jpg				1	0
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			3	2	0
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1625.jpg			2	3	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1626.jpg			2	4	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1627.jpg			2	5	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1628.jpg			2	6	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1629.jpg			2	7	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1659.jpg			1	8	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1630.jpg			2	9	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1660.jpg			1	10	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1631.jpg			2	11	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1632.jpg			2	12	1
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1661.jpg			1	13	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1633.jpg			2	14	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1634.jpg			2	15	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1662.jpg			1	16	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1635.jpg			2	17	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1636.jpg			2	18	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1637.jpg			2	19	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1638.jpg			2	20	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1639.jpg			2	21	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1640.jpg			2	22	1
%															
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1641.jpg			2	23	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1663.jpg			1	24	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1642.jpg			2	25	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1643.jpg			2	26	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1644.jpg			2	27	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1645.jpg			2	28	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1646.jpg			2	29	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1647.jpg			2	30	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1648.jpg			2	31	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1664.jpg			1	33	2
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1649.jpg			2	34	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1665.jpg			1	35	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1650.jpg			2	36	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1666.jpg			1	37	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1651.jpg			2	38	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1667.jpg			1	39	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1652.jpg			2	40	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1653.jpg			2	41	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1654.jpg			2	42	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1668.jpg			1	43	2
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1655.jpg			2	44	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1656.jpg			2	45	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1657.jpg			2	46	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1658.jpg			2	47	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1659.jpg			2	48	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1660.jpg			2	49	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1661.jpg			2	50	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1662.jpg			2	51	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1663.jpg			2	52	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1664.jpg			2	53	1
%															
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			3	54	0
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1669.jpg			1	55	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1670.jpg			1	56	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1671.jpg			1	57	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1672.jpg			1	58	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1673.jpg			1	59	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1674.jpg			1	60	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1665.jpg			2	61	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1675.jpg			1	62	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1676.jpg			1	63	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1677.jpg			1	64	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1666.jpg			2	65	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1678.jpg			1	66	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1679.jpg			1	67	1
