"X"	"Y"	"Z"	"RotX"	"RotY"	"RotZ"	"stdDVARS"	"FramewiseDisplacement"
0	0	0	0	0	0	"n/a"	"n/a"
0.0270833	0.042948	0.0606392	-0.000808521	0.000823127	-1.05879e-22	"1.18848133"	"0.2122529"
0.0402484	0.0520396	0.0930915	-0.00177839	0.00100466	-0.000388373	"1.08256197"	"0.13169775"
0.0417902	0.0548467	0.121799	-0.0024718	0.00128383	-0.000628152	"1.10165775"	"0.09367435"
0.0368975	0.0638233	0.171802	-0.00347226	0.00111939	-0.000724749	"1.1021266"	"0.12694715"
0.0200879	0.0289377	0.149895	-0.00421188	0.00110901	-0.000758125	"1.15221488"	"0.11277100000000002"
0.0445565	0.0122293	0.223168	-0.00567243	0.00106186	-0.000887486	"1.1219207"	"0.19630304999999998"
0.0367808	0.0289244	0.208305	-0.00553901	0.00152395	-0.00105115	"1.17580473"	"0.07729250000000001"
0.0210537	0.0273856	0.192899	-0.00565384	0.00179267	-0.0013326	"1.16619551"	"0.06592190000000002"
0.0132246	0.0490904	0.203571	-0.00594084	0.00152395	-0.00133712	"1.16439033"	"0.06821790000000001"
0.0109339	0.0660025	0.247871	-0.00588226	0.00202883	-0.00155614	"1.19440854"	"0.1026268"
-0.00221459	0.0565323	0.240915	-0.0056086	0.00207543	-0.00144681	"1.14942777"	"0.05105419000000002"
0.00973957	0.0788381	0.267047	-0.00640799	0.00189295	-0.00125458	"1.170699"	"0.11909695999999997"
0.00333562	0.0883709	0.270152	-0.00679739	0.00222834	-0.00148789	"1.19196928"	"0.06694675000000008"
0.0076637	0.047622	0.272219	-0.00737488	0.00230238	-0.0015326	"1.14340854"	"0.08195597999999998"
0.00301049	0.0309105	0.234049	-0.00708265	0.00239063	-0.00137703	"1.10320973"	"0.08633720999999998"
0.0301994	0.0566436	0.242936	-0.00733462	0.00274979	-0.00128833	"1.17231882"	"0.09680050999999998"
0.0202139	0.0349586	0.234675	-0.00725333	0.0026454	-0.00132489	"1.15676308"	"0.05104350000000002"
0.0202519	0.0660306	0.269716	-0.00772791	0.00237414	-0.00145191	"1.16208327"	"0.10979400000000004"
0.025769	0.0256676	0.276631	-0.00881608	0.00288269	-0.00157355	"1.25192499"	"0.1387131"
0.0151667	0.0610789	0.256777	-0.00874749	0.00311861	-0.00149826	"1.14880419"	"0.08485760000000006"
0.0181522	0.0760089	0.274499	-0.00944569	0.00314026	-0.00159389	"1.13552165"	"0.0764115"
0.0232634	0.0926433	0.288591	-0.00967421	0.00325525	-0.0017057	"1.17882955"	"0.058603600000000027"
0.0193013	0.0808045	0.281653	-0.00941233	0.00309392	-0.00172488	"1.13507509"	"0.04485840000000003"
0.0204278	0.0969734	0.313217	-0.00967888	0.00335185	-0.00149116	"1.13187325"	"0.0867694000000001"
0.0194717	0.0905746	0.313679	-0.00953548	0.00367078	-0.00149709	"1.12002051"	"0.03122989999999995"
0.012533	0.0657832	0.306411	-0.00958152	0.00337748	-0.00145067	"1.18505633"	"0.05828609999999994"
0.00311943	0.0710389	0.31572	-0.00989302	0.00379483	-0.0014678	"1.16439223"	"0.061277270000000064"
0.0134857	0.0869237	0.353875	-0.0100305	0.00408812	-0.0014066	"1.10670853"	"0.08900456999999994"
0.00598436	0.0757515	0.33096	-0.010432	0.00372966	-0.00121906	"1.10654378"	"0.08896354000000005"
0.0217044	0.0596602	0.33796	-0.0108662	0.00416314	-0.00135289	"1.12591493"	"0.08888683999999998"
0.0326975	0.0478409	0.350774	-0.0109653	0.0042025	-0.00150837	"1.072487"	"0.05032340000000002"
0.0177667	0.0972534	0.340294	-0.0111487	0.00403124	-0.00137246	"1.1395762"	"0.09935179999999988"
0.0068996	0.0709139	0.272144	-0.0109855	0.00436971	-0.0014987	"1.16229534"	"0.1367520999999999"
0.00147838	0.112419	0.368423	-0.0114046	0.00456469	-0.0015093	"1.1531949"	"0.17443932000000004"
0.00317716	0.120989	0.368431	-0.0113945	0.00407759	-0.00101623	"1.14629602"	"0.059790280000000036"
0.00289921	0.1325	0.336983	-0.0117845	0.00431967	-0.000331335	"1.23245156"	"0.10908570000000004"
0.0238419	0.0853336	0.332947	-0.012815	0.00448491	-0.000503807	"1.15302455"	"0.14055569"
0.0268595	0.0806657	0.383313	-0.0129917	0.00423491	-0.000685707	"1.15661895"	"0.08848150000000002"
0.0266568	0.0892373	0.390668	-0.0133272	0.00474132	-0.000746968	"1.23065186"	"0.06128785000000006"
0.0305945	0.0811744	0.38832	-0.0139388	0.00518256	-0.00060262	"1.16453803"	"0.07420799999999995"
0.0355449	0.0844731	0.426196	-0.0142272	0.00528363	-0.00060262	"1.15749085"	"0.06559860000000009"
0.0341063	0.102646	0.44065	-0.014171	0.00576195	-0.00060262	"1.12339377"	"0.06079150000000001"
0.0378853	0.11775	0.468644	-0.0145504	0.00566097	-0.00060262	"1.05743003"	"0.070896"
0.0322289	0.107476	0.515468	-0.0151067	0.00591097	-0.000725973	"1.13604629"	"0.10923705000000004"
0.0461658	0.15309	0.568089	-0.0151067	0.00618476	-0.000877044	"1.16211057"	"0.13341494999999992"
0.0399046	0.121365	0.566559	-0.0152908	0.00678808	-0.000870107	"1.0862664"	"0.0792340499999999"
0.0345457	0.102846	0.577653	-0.0157937	0.00670225	-0.000950048	"1.09672046"	"0.06840544999999998"
0.0334879	0.0846985	0.577725	-0.0161308	0.00670224	-0.000895016	"1.21885037"	"0.038884400000000076"
0.0359372	0.1083	0.585712	-0.0161482	0.00670225	-0.000734378	"1.12234557"	"0.0429402"
0.0484045	0.101789	0.617362	-0.0161265	0.00678635	-0.000646562	"1.04785621"	"0.0603091000000001"
0.0482639	0.146101	0.616505	-0.0163078	0.00711729	-0.000646562	"1.0811727"	"0.07092160000000013"
0.0448505	0.153178	0.608354	-0.0164571	0.00738683	-0.000646562	"1.09522319"	"0.03958339999999989"
0.0483651	0.178033	0.610239	-0.0165989	0.0068895	-0.000646562	"1.078915"	"0.06221110000000005"
0.0653665	0.129479	0.600164	-0.0165577	0.00742416	-0.000899512	"1.09906852"	"0.11707089999999985"
0.0716512	0.155905	0.610115	-0.0165678	0.00742416	-0.000983307	"1.07729793"	"0.04735644999999987"
0.0648668	0.134452	0.618276	-0.0166519	0.00770048	-0.00136906	"1.14254332"	"0.0737070500000001"
0.0636205	0.146294	0.617074	-0.0166888	0.00787004	-0.00136906	"1.11185431"	"0.024613300000000032"
