%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
s	1	0	5	5	0	n	n	n		crosshair.jpg			
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			
s	1	0	1	1.166666667	0	k	p	p	crosshair.jpg	PRC001.jpg			1
s	1	0	1	1.333333333	0	k	p	p	crosshair.jpg	PRC002.jpg			1
s	1	0	1	1.333333333	0	k	p	p	crosshair.jpg	PRC003.jpg			1
s	1	0	1	1.5	0	k	p	p	crosshair.jpg	PRC004.jpg			1
s	1	0	1	1.333333333	0	k	p	p	crosshair.jpg	Neutral001.jpg			0
s	1	0	1	1.5	0	k	p	p	crosshair.jpg	PRC005.jpg			1
s	1	0	1	1.333333333	0	k	p	p	crosshair.jpg	PRC006.jpg			1
s	1	0	1	1.166666667	0	k	p	p	crosshair.jpg	Neutral002.jpg			0
s	1	0	1	1.5	0	k	p	p	crosshair.jpg	PRC007.jpg			1
s	1	0	1	1.5	0	k	p	p	crosshair.jpg	Neutral003.jpg			0
%													
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			
s	1	0	1	1.333333333	0	k	p	p	crosshair.jpg	Neutral004.jpg			0
s	1	0	1	1.166666667	0	k	p	p	crosshair.jpg	Neutral005.jpg			0
s	1	0	1	1.5	0	k	p	p	crosshair.jpg	PRC008.jpg			1
s	1	0	1	1.333333333	0	k	p	p	crosshair.jpg	Neutral006.jpg			0
s	1	0	1	1.166666667	0	k	p	p	crosshair.jpg	PRC009.jpg			1
s	1	0	1	1.166666667	0	k	p	p	crosshair.jpg	Neutral005.jpg			0
s	1	0	1	1.166666667	0	k	p	p	crosshair.jpg	Neutral006.jpg			0
s	1	0	1	1.5	0	k	p	p	crosshair.jpg	PRC010.jpg			1
s	1	0	1	1.166666667	0	k	p	p	crosshair.jpg	Neutral007.jpg			0
s	1	0	1	1.166666667	0	k	p	p	crosshair.jpg	Neutral008.jpg			0
