tag_gng1	tag_gng2	tag_gng3	tag_gng4
nan	nan	nan	nan
3	3	3	3
1	2	1	2
2	2	2	2
1	2	1	2
1	2	1	2
2	2	2	2
1	1	1	1
1	2	1	2
2	1	2	1
1	2	1	2
1	2	1	2
1	1	1	1
1	2	1	2
1	2	1	2
1	1	1	1
1	2	1	2
2	2	2	2
1	2	1	2
1	2	1	2
2	2	2	2
1	2	1	2
1	2	1	2
1	1	1	1
1	2	1	2
1	2	1	2
2	2	2	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
2	1	2	1
1	2	1	2
1	1	1	1
2	2	2	2
1	1	1	1
1	2	1	2
1	1	1	1
1	2	1	2
1	2	1	2
1	2	1	2
1	1	1	1
1	2	1	2
2	2	2	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
2	2	2	2
3	3	3	3
2	1	2	1
2	1	2	1
2	1	2	1
2	1	2	1
2	1	2	1
2	1	2	1
2	2	2	2
1	1	1	1
2	1	2	1
2	1	2	1
1	2	1	2
2	1	2	1
2	1	2	1
2	1	2	1
2	1	2	1
2	2	2	2
2	1	2	1
1	2	1	2
2	1	2	1
1	1	1	1
2	1	2	1
2	2	2	2
2	1	2	1
2	1	2	1
1	1	1	1
2	1	2	1
2	1	2	1
2	1	2	1
1	2	1	2
2	1	2	1
1	1	1	1
2	2	2	2
2	1	2	1
2	2	2	2
1	1	1	1
2	1	2	1
2	1	2	1
2	1	2	1
2	2	2	2
2	1	2	1
2	1	2	1
2	2	2	2
2	1	2	1
2	1	2	1
1	2	1	2
2	1	2	1
2	1	2	1
2	1	2	1
1	1	1	1
2	1	2	1
3	3	3	3
1	2	1	2
1	2	1	2
1	1	1	1
1	2	1	2
1	1	1	1
2	2	2	2
1	2	1	2
2	2	2	2
1	2	1	2
1	1	1	1
2	2	2	2
1	2	1	2
1	1	1	1
2	2	2	2
1	2	1	2
1	2	1	2
1	2	1	2
1	1	1	1
1	2	1	2
1	2	1	2
1	1	1	1
2	2	2	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
2	2	2	2
1	2	1	2
2	1	2	1
1	2	1	2
2	2	2	2
1	1	1	1
2	2	2	2
1	2	1	2
1	1	1	1
1	2	1	2
2	2	2	2
1	2	1	2
1	1	1	1
1	2	1	2
1	2	1	2
1	2	1	2
1	1	1	1
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
3	3	3	3
2	1	2	1
1	2	1	2
2	1	2	1
2	1	2	1
2	1	2	1
2	1	2	1
2	1	1	1
2	2	2	2
2	1	1	1
2	1	2	1
1	1	1	1
2	2	2	2
2	1	2	1
2	1	2	1
2	1	2	1
1	1	1	1
2	1	2	1
2	1	2	1
2	1	2	1
2	1	2	1
1	2	1	2
2	1	2	1
2	1	2	1
2	1	2	1
1	1	1	1
2	1	2	1
2	1	2	1
2	1	2	1
2	1	2	1
2	1	2	1
2	2	2	2
2	1	2	1
1	1	1	1
2	1	2	1
2	1	2	1
2	1	2	1
1	1	1	1
2	1	2	1
2	1	2	1
2	1	2	1
2	2	2	2
2	1	2	1
2	2	2	2
1	1	1	1
2	2	2	2
2	1	2	1
2	1	2	1
2	2	2	2
2	1	2	1
2	1	2	1
3	3	3	3
2	2	2	2
1	2	1	2
2	2	2	2
1	2	1	2
1	1	1	1
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
2	2	2	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
2	2	2	2
1	1	1	1
1	2	1	2
1	2	1	2
1	1	1	1
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
2	2	2	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
2	1	2	1
1	2	1	2
1	2	1	2
1	2	1	2
1	2	1	2
2	2	2	2
1	1	1	1
1	2	1	2
2	1	2	1
