%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
s	1	0	2	2	1	n	p	p	justlook.jpg	justlook.jpg			3
s	1	0	5	5	1	n	p	p	Neutral0001.jpg	Neutral0001.jpg			2
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	1.7695	1.7695	1	n	p	p	crosshair.jpg	crosshair.jpg			0
s	1	0	5	5	1	n	p	p	PRC0001.jpg	PRC0001.jpg			1
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	2.0223	2.0223	1	n	p	p	crosshair.jpg	crosshair.jpg			0
s	1	0	5	5	1	n	p	p	PRC0002.jpg	PRC0002.jpg			1
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	4.0445	4.0445	1	n	p	p	crosshair.jpg	crosshair.jpg			0
s	1	0	5	5	1	n	p	p	Neutral0002.jpg	Neutral0002.jpg			2
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	2.0223	2.0223	1	n	p	p	crosshair.jpg	crosshair.jpg			0
s	1	0	5	5	1	n	p	p	PRC0003.jpg	PRC0003.jpg			1
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	1.5167	1.5167	1	n	p	p	crosshair.jpg	crosshair.jpg			0
%							0		0				0
s	1	0	5	5	1	n	p	p	PRC0004.jpg	PRC0004.jpg			1
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	1.7695	1.7695	1	n	p	p	crosshair.jpg	crosshair.jpg			0
s	1	0	5	5	1	n	p	p	Neutral0003.jpg	Neutral0003.jpg			2
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	3.0334	3.0334	1	n	p	p	crosshair.jpg	crosshair.jpg			0
s	1	0	5	5	1	n	p	p	Neutral0004.jpg	Neutral0004.jpg			2
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	2.0223	2.0223	1	n	p	p	crosshair.jpg	crosshair.jpg			0
s	1	0	5	5	1	n	p	p	PRC0005.jpg	PRC0005.jpg			1
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	3.0334	3.0334	1	n	p	p	crosshair.jpg	crosshair.jpg			0
s	1	0	5	5	1	n	p	p	Neutral0005.jpg	Neutral0005.jpg			2
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	1.7695	1.7695	1	n	p	p	crosshair.jpg	crosshair.jpg			0
%							0		0				0
s	1	0	5	5	1	n	p	p	PRC0006.jpg	PRC0006.jpg			1
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			0
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			0
s	1	0	4.0445	4.0445	1	n	p	p	crosshair.jpg	crosshair.jpg			0
s	1	0	5	5	1	n	p	p	Neutral0006.jpg	Neutral0006.jpg			2
