%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
s	1	0	2	2	1	n	p	p	justlook.jpg	justlook.jpg			justlook.jpg
s	1	0	5	5	1	n	p	p	Neutral001.jpg	Neutral001.jpg			Neutral001.jpg
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			blank.jpg
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			desire.jpg
s	1	0	1.7695	1.7695	1	n	p	p	crosshair.jpg	crosshair.jpg			crosshair.jpg
s	1	0	5	5	1	n	p	p	PRC001.jpg	PRC001.jpg			PRC001.jpg
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			blank.jpg
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			desire.jpg
s	1	0	2.0223	2.0223	1	n	p	p	crosshair.jpg	crosshair.jpg			crosshair.jpg
s	1	0	5	5	1	n	p	p	PRC002.jpg	PRC002.jpg			PRC002.jpg
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			blank.jpg
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			desire.jpg
s	1	0	4.0445	4.0445	1	n	p	p	crosshair.jpg	crosshair.jpg			crosshair.jpg
s	1	0	5	5	1	n	p	p	Neutral002.jpg	Neutral002.jpg			Neutral002.jpg
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			blank.jpg
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			desire.jpg
s	1	0	2.0223	2.0223	1	n	p	p	crosshair.jpg	crosshair.jpg			crosshair.jpg
s	1	0	5	5	1	n	p	p	PRC003.jpg	PRC003.jpg			PRC003.jpg
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			blank.jpg
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			desire.jpg
s	1	0	1.5167	1.5167	1	n	p	p	crosshair.jpg	crosshair.jpg			crosshair.jpg
%							0		0				0
s	1	0	5	5	1	n	p	p	PRC004.jpg	PRC004.jpg			PRC004.jpg
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			blank.jpg
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			desire.jpg
s	1	0	1.7695	1.7695	1	n	p	p	crosshair.jpg	crosshair.jpg			crosshair.jpg
s	1	0	5	5	1	n	p	p	Neutral003.jpg	Neutral003.jpg			Neutral003.jpg
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			blank.jpg
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			desire.jpg
s	1	0	3.0334	3.0334	1	n	p	p	crosshair.jpg	crosshair.jpg			crosshair.jpg
s	1	0	5	5	1	n	p	p	Neutral004.jpg	Neutral004.jpg			Neutral004.jpg
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			blank.jpg
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			desire.jpg
s	1	0	2.0223	2.0223	1	n	p	p	crosshair.jpg	crosshair.jpg			crosshair.jpg
s	1	0	5	5	1	n	p	p	PRC005.jpg	PRC005.jpg			PRC005.jpg
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg			blank.jpg
s	1	0	4	4	1	"""0123456789"""	p	p	desire.jpg	desire.jpg			desire.jpg
s	1	0	2.0223	2.0223	1	n	p	p	crosshair.jpg	crosshair.jpg			crosshair.jpg
