subs	prc	run
1	1	1
1	3	1
1	4	1
1	1	2
1	3	2
1	4	2
2	4	1
2	4	2
3	1	1
3	2	1
3	3	1
3	1	2
3	2	2
3	3	2
5	4	1
5	4	2
6	1	1
6	3	1
6	1	2
6	3	2
10	3	1
10	4	1
10	3	2
10	4	2
11	2	1
11	3	1
11	4	1
11	2	2
11	3	2
11	4	2
12	2	1
12	3	1
12	2	2
12	3	2
13	4	1
13	4	2
14	1	1
14	4	1
15	1	1
15	2	1
15	3	1
15	1	2
15	2	2
15	3	2
16	4	1
16	4	2
17	4	1
17	4	2
18	1	1
18	3	1
18	4	1
18	1	2
18	3	2
18	4	2
19	3	1
19	4	1
20	1	1
20	3	1
20	4	1
20	1	2
20	3	2
20	4	2
21	4	1
21	4	2
22	2	1
22	4	1
22	2	2
22	4	2
23	1	1
23	4	1
23	1	2
23	4	2
24	1	1
24	3	1
24	1	2
24	3	2
29	1	1
29	2	1
29	4	1
29	1	2
29	2	2
29	4	2
30	3	1
30	4	1
30	3	2
30	4	2
31	1	1
31	3	1
31	1	2
31	3	2
32	4	1
32	4	2
35	1	1
35	4	1
35	1	2
35	4	2
36	3	1
36	4	1
36	3	2
36	4	2
37	1	1
37	2	1
37	3	1
37	4	1
37	1	2
37	2	2
37	3	2
37	4	2
38	3	1
38	4	1
38	3	2
38	4	2
40	1	1
40	4	1
40	1	2
40	4	2
41	1	1
41	4	1
41	1	2
41	4	2
42	2	1
42	3	1
42	4	1
42	2	2
42	3	2
42	4	2
43	3	1
43	3	2
44	4	1
44	4	2
46	1	1
46	3	1
46	4	1
46	1	2
46	3	2
46	4	2
47	1	1
47	4	1
47	1	2
47	4	2
48	2	1
48	3	1
48	4	1
48	2	2
48	3	2
48	4	2
50	2	1
50	4	1
50	2	2
50	4	2
51	4	1
51	4	2
52	1	1
52	3	1
52	1	2
52	3	2
53	4	1
53	4	2
54	1	1
54	4	1
54	1	2
54	4	2
55	4	1
55	4	2
56	4	1
56	4	2
57	4	1
57	4	2
60	1	1
60	4	1
60	1	2
60	4	2
62	1	1
62	2	1
62	3	1
62	1	2
62	2	2
62	3	2
64	1	1
64	3	1
64	4	1
65	4	1
65	4	2
67	4	1
67	4	2
68	4	1
68	4	2
69	4	1
69	4	2
70	4	1
70	4	2
73	1	1
73	4	1
73	1	2
73	4	2
74	2	1
74	2	2
75	1	1
75	4	1
75	1	2
75	4	2
76	2	1
76	4	1
76	2	2
76	4	2
77	4	1
77	4	2
78	2	1
78	3	1
78	4	1
78	2	2
78	3	2
78	4	2
79	4	1
79	4	2
80	1	1
80	3	1
80	4	1
80	1	2
80	3	2
80	4	2
84	4	1
84	4	2
85	1	1
85	3	1
85	4	1
85	1	2
85	3	2
85	4	2
86	1	1
86	2	1
86	1	2
86	2	2
88	2	1
88	4	1
88	2	2
88	4	2
89	2	1
89	3	1
89	4	1
89	2	2
89	3	2
89	4	2
90	4	1
90	4	2
91	1	1
91	4	1
91	1	2
91	4	2
93	4	1
93	4	2
94	4	1
94	4	2
95	4	1
95	4	2
97	4	1
97	4	2
98	1	1
98	2	1
98	3	1
98	4	1
98	1	2
98	2	2
98	3	2
98	4	2
100	4	1
100	4	2
101	3	1
101	4	1
101	3	2
101	4	2
102	4	1
102	4	2
104	1	1
104	3	1
104	4	1
104	1	2
104	3	2
104	4	2
105	3	1
105	4	1
105	3	2
105	4	2
107	3	1
107	4	1
107	3	2
107	4	2
108	4	1
108	4	2
109	2	1
109	4	1
109	2	2
109	4	2
110	1	1
110	3	1
110	1	2
110	3	2
111	4	1
111	4	2
112	4	1
112	4	2
113	3	1
113	4	1
113	3	2
113	4	2
114	1	1
114	2	1
114	4	1
114	1	2
114	2	2
114	4	2
115	2	1
115	4	1
115	2	2
115	4	2
116	2	1
116	4	1
118	2	1
118	4	1
118	2	2
118	4	2
119	2	1
119	4	1
119	2	2
119	4	2
120	4	1
120	4	2
121	4	1
121	4	2
122	2	1
122	3	1
122	4	1
124	3	1
124	4	1
126	4	1
126	4	2
127	4	1
127	4	2
128	4	1
128	4	2
129	1	1
129	4	1
129	1	2
129	4	2
130	1	1
130	4	1
130	1	2
130	4	2
131	4	1
131	4	2
132	4	1
132	4	2
134	4	1
134	4	2
135	3	1
135	4	1
135	3	2
135	4	2
136	2	1
136	3	1
136	4	1
136	2	2
136	3	2
136	4	2
137	4	1
137	4	2
138	4	1
138	4	2
140	2	1
140	4	1
140	2	2
140	4	2
141	4	1
141	4	2
142	1	1
142	3	1
142	4	1
142	1	2
142	3	2
142	4	2
144	4	1
144	4	2
